companyName,description,countryOfCompany,categoryOfCompany,email,
Fraunhofer IIS,"For over 30 years, we have been shaping the globally deployed standards and technologies in the fields of audio and moving picture production. A new generation of best-in-class media technologies – such as MPEG-H Audio, xHE-AAC, LC3/LC3plus, JPEG XS – is elevating the user experience to new heights and makes memorable moments.",Germany,,audio-info@iis.fraunhofer.de,
"FreeWheel Media, Inc.",,United States of America,,,
French Tech / Region Nouvelle-Aquitaine,"Nouvelle-Aquitaine, the largest French region, has a natural international opening and a world-famous capital Bordeaux. It is very active in the French Tech dynamics fostering innovation and entrepreneurship. With a dynamic ecosystem and a unique quality of life, it’s paradise for any startupper! The Region supports 13 startups at CES2021",France,,startup-region@nouvelle-aquitaine.fr,
Fresh Portal,,United States of America,,,
Friendtrol Technologies Inc.,,Taiwan,,,
FRONICS,,South Korea,,,
F-Secure,"Nobody has better visibility into real-life cyber attacks than F-Secure. We’re closing the gap between detection and response, utilizing the unmatched threat intelligence of hundreds of our industry’s best technical consultants, millions of devices running our award-winning software, and ceaseless innovations in artificial intelligence.",United States,,,
FUJIFILM North America Corporation,,United States of America,,,
FUJIFILM North America Corporation,,United States of America,,,
"Fukuoka Smart East, Japan","Fukuoka Smart East is a revolutionary project to create a model city for the future. We will overcome urban development issues such as declining birthrate and aging population,while continuing to develop sustainably by introducing cutting-edge technology and innovation to create comfortable and high-quality lifestyles and urban spaces.",Japan,,SmartEAST.HUPB@city.fukuoka.lg.jp,
"Funzin co., ltd.","We envision a future where connections among humans and things could guide us to a new world.
We dream of a world beyond our wildest imaginations.
With 5G, connected Smart Car, and Artificial Intelligence of Things (AIoT) solutions, we can make the world a better place for all of us.
A fun and exciting journey toward the future, Funzin.",South Korea,"Artificial Intelligence,IoT/Sensors,Vehicle Tech",info@funzin.co.kr,
Fusion Lab Technologies,biped is an AI copilot for blind and visually impaired people.,Switzerland,"Accessibility,Artificial Intelligence,Digital Health,Startups",hello@biped.ai,
Gamma AR,"GAMMA Technologies is a Luxembourg-based startup with a multinational team and an ambition to eliminate the use of pen and paper on construction sites through an AR solution. Its product GAMMA AR overlays 3D BIM models on the physical building site to prevent errors, reduce rework and shorten the time spent on documentation and follow up.",Luxembourg,,info@gamma-ar.com,
eMed,,United States of America,"Digital Health,Startups,Wellness Technologies",,
Emergency Safety Solutions,"Emergency Safety Solutions is working to eliminate disabled vehicle crashes with our new intelligent emergency communications feature: Hazard Enhanced Location Protocol (H.E.L.P.™).
‍
H.E.L.P. makes disabled vehicles more visible with highly conspicuous emergency lighting & digital alerts sent to oncoming vehicles via GPS mapping apps.",United States of America,"Cloud Computing/Data,Startups,Vehicle Tech",,
EMF Risk Assessment & Mitigation Physicians-5GMDs,"Drs. Kornick and Patel are the founders of 5GMDs, a group of physician educators committed to increasing awareness of the potential health risks associated with 5G and other forms of wireless radiation.  

Offering EMF shielding products including shielded phone/tablet/laptop cases; shielded undergarments, beanies, hoodies and clothing",United States of America,"5G Technologies,Accessories,Digital Health,IoT/Sensors,Wellness Technologies",info@5gmds.com,
emotion3D,"emotion3D develops an AI-software stack for camera-based automotive in-cabin analysis. Cameras in the vehicle help analyze all occupants’ characteristics, states and activities to enable a wide range of safety & user experience functions. This enables: ideal user experience, seamless human-vehicle interaction and optimized safety.",Austria,Vehicle Tech,office@emotion3d.ai,
Emtake Inc.,"Emtake uses thermal cameras and sensors to cover different issues such as the spread of viruses, possible fires, and security problems using advanced thermal technology delivering solutions that resolve customer needs. Emtake is constantly developing new ways to integrate thermal imaging into different scenarios, such as smart cities,etc",South Korea,"Artificial Intelligence,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances",email@emtake.com,
Enercamp Inc.,"Enercamp is a smart energy startup established in 2017.
Based on IoT, AI, and ESS charging technologies and expertise,
Enercamp has developed smart ESS. Currently, we have a business presence in Korea, the United States (San Francisco), and China (Shenzhen).",United States,"Energy/Power,Startups,Sustainability,Vehicle Tech",,
EnerControl,"EnerContol provides the latest technological solutions, meeting the needs of individuals and manufacturers, in the fields of: - telemetry, - energy efficiency - smart cities
By plug & play our solution to the output of a digital electricity meter, you will be able to consult and monitor your consumption remotely and in real time.",Morocco,"Artificial Intelligence,Energy/Power,IoT/Sensors,Smart Cities and Resilience,Wellness Technologies",r.bennani@mascir.ma,
Energous Corporation,RF-based wireless power transfer (WPT) for near field and Over-the-Air wireless charging,United States of America,"Energy/Power,High-Tech Retailing/E-Commerce,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances",,
Energysquare,"Energysquare, French company founded in 2015, is developing the new wireless charging technology ""Power by Contact"". Unlike inductive charging technologies on the market, Power by Contact allows the wireless charging of several devices simultaneously, at the same speed as a conventional charger, at high power and without energy loss.",France,"Accessories,Energy/Power,Home Office Hardware and Accessories,Mobile Hardware and Accessories,Smart Home and Appliances",contact@energysquare.co,
Eneridge,,United States of America,,,
Engineerforce Inc,Our system is specifically designed for IT engineers to make estimating man-hours easier and more accurate.,Japan,"Artificial Intelligence,Cloud Computing/Data,Startups",contact@engineerforce.io,
"DolbomDream Co., Ltd.",,South Korea,,,
Dolby,"From movies and TV shows, to apps, music, sports and gaming, Dolby transforms the science of sight and sound into spectacular experiences with Dolby Atmos, Dolby Vision, Dolby Cinema, and Dolby.io. The Dolby CES Experience is by invitation only.",United States,,,
Dolby,"From movies and TV shows, to apps, music, sports and gaming, Dolby transforms the science of sight and sound into spectacular experiences with Dolby Atmos, Dolby Vision, Dolby Cinema, and Dolby.io. The Dolby CES Experience is by invitation only.",United States,,,
Dolphin Design,"Dolphin Design, a subsidiary of Soitec, is a semiconductor company headquartered near Grenoble, France. We employ more than 180 people, building state-of-the-art IPs & architectures. For the CES22, we will showcase, through a demo on object/anomaly detection, our expertise in AI processing architectures with low power consumption.",France,"Artificial Intelligence,Cloud Computing/Data,Energy/Power,IoT/Sensors,Smart Home and Appliances",,
domethics srl,,Italy,,,
"Dongguan CXM Technology Co., Ltd.","Dongguan Yiche(Youmota) is an innovative enterprise combining with design, R&D, production, marketing and sales. Specilized in supplying electric scooters and electric bikes. The poducts have obtained CE, FCC, RoHS, UL certifications.Warmly welcome to contact us for business cooperation.",China,"Sports Technology,Vehicle Tech",info@chexiaomi.net,
Dongguan Dongqing Plastics & Electronics Co. Ltd,,China,,,
"Dongguan Xingming Trading Co., Ltd",,China,Accessories,tiffany.zhou@zflying.com.mx,
"Donut Robotics, Inc.",,Japan,,,
Doosan,,South Korea,"Drones,Energy/Power,Robotics,Sustainability,Vehicle Tech",,
DoubleVerify,"Since 2008, DoubleVerify (DV) has helped hundreds of companies gain the most value out of their media spend by delivering best in class solutions across the digital ecosystem. DV is driven by a singular purpose — to power the new standard of marketing performance, giving advertisers clarity and confidence in their digital investment.",United States,,events@doubleverify.com,
DPassociates,,South Korea,AR/VR/XR,go@dpground.com,
"DPI, Inc.",,United States of America,,,
"DPI, Inc.",,United States of America,,,
DRAIVER&GO,"Draiver&go is a disruptive software solution for Driver Monitoring and in-cabin sense powered by AI Computer Vision.

Draiver&go is focussing in saving drivers and passenger lives by means of AI computer vision systems. In addition, we also want to make the experience of getting into a car unique and as comfortable as possible.",Spain,,info@draiverandgo.com,
